HIV1	HIV2	HIV3	HIV4	Cont1	Cont2	Cont3	Cont4
190.8059	100.58407	110.86603	127.59	177.99469	123.06989	114.46047	164.58035
1127.121	555.8429	588.2988	674.9742	1029.4777	572.9295	646.1951	790.775
46.83855	20.51693	55.54012	20.25064	49.01781	22.58288	27.47824	59.25438
182.43709	182.44467	141.93658	194.8627	206.45155	209.54233	137.80072	202.39578
72.85197	66.69598	105.68266	61.6678	73.8982	62.25554	55.85476	87.79376
81.26926	70.98507	152.07986	81.92103	81.74084	72.83864	84.46126	107.60092
447.696	219.19978	336.4131	352.4315	632.84467	332.9608	434.93237	405.28186
884.17017	451.31528	570.14136	489.91824	915.46375	569.3576	901.4707	724.74023
312.52893	274.7423	112.89843	302.4413	348.46875	267.19376	131.2595	302.078
288.47342	247.53644	110.75244	255.57686	199.32181	143.16318	77.84745	159.25371
1768.7561	1671.2053	645.651	1643.9415	1763.647	1604.3408	556.9282	1337.416
100.43375	77.16464	43.72113	86.91222	95.11015	63.35718	26.47184	64.41081
58.77398	33.82486	23.68162	59.96198	104.38554	77.49564	33.14298	71.23463
28.31721	11.00694	37.95645	42.89877	50.4097	23.01806	25.3248	38.1819
271.16953	179.3603	102.68243	184.96468	250.22487	146.65512	113.04671	203.02472
8992.53	7393.966	3760.8696	8094.1924	12009.865	10254.646	5305.2	9853.333
155.76788	129.07846	95.07713	161.75795	238.62802	156.74115	109.73118	154.42207
2390.9216	1624.592	919.267	1955.4987	3996.8997	2640.2886	1618.4539	3055.6917
472.68915	262.03156	175.52232	371.91208	730.04114	449.3443	374.2885	609.46936
71.38949	35.34473	28.89346	113.07553	73.73472	84.01572	39.87101	66.57639
957.1128	452.13925	337.1048	672.15247	1062.716	558.822	615.4818	1017.3735
2233.7297	1273.4795	720.8666	1602.1234	2483.2612	1566.0397	899.81714	1847.9938
682.4662	327.26926	214.42029	441.73718	651.6562	384.15533	318.66125	544.2631
1126.7983	575.36304	408.63684	738.9037	1414.0945	819.37146	734.6228	1134.0901
53.80954	29.74034	33.90008	56.48022	81.05357	26.69334	28.87841	58.75576
22.79558	19.68373	64.0629	19.3551	33.2617	21.95727	17.64149	18.2736
83.64354	50.80605	38.62415	66.3056	74.26057	41.03148	47.92228	93.23811
65.32404	14.81938	50.00791	62.20884	73.25969	37.50903	30.18273	70.36465
153.5178	75.61834	115.64197	126.5837	172.88818	95.53414	77.61724	139.56161
90.99262	78.18842	79.02467	66.32021	80.15551	135.26488	35.36213	76.16642
30.72639	14.30466	17.51017	29.06569	33.39088	16.77792	18.15551	36.79843
7513.377	5721.7964	4330.2573	6003.485	7145.443	5979.446	6339.8047	8435.027
63.40529	44.88066	136.0261	165.4969	73.06657	40.11475	47.03638	80.57989
708.0392	341.07837	284.68185	730.26917	636.40826	332.1214	307.26917	466.22256
455.02652	267.5586	252.6242	752.1359	671.5572	433.15643	317.1829	443.72925
779.2564	388.4903	422.76486	800.41565	1223.1609	652.1789	618.8968	846.6773
334.4425	182.55211	235.37935	289.1365	238.73897	157.93147	125.6903	192.82103
687.823	352.5308	358.59326	437.9607	529.45465	293.9869	380.60657	437.93613
97.706	63.87358	132.33344	169.97218	120.17175	91.1107	86.5004	122.83559
105.67693	49.85578	103.63118	123.96639	109.76199	62.21243	64.78697	96.62541
36.25919	36.07746	83.93124	36.74594	48.61277	42.4091	34.93046	41.68996
2124.4912	1000.1835	1200.4458	1460.3846	2513.0146	1296.5604	1231.5907	1612.6602
63.98701	44.73903	70.5109	95.6008	113.59501	47.93063	43.66578	89.63806
569.69324	331.25766	385.65326	356.34134	573.29333	412.59995	517.7701	533.2212
396.59964	253.91841	278.40564	262.1224	378.18503	282.00003	293.6571	346.33524
29.18699	15.56219	67.89735	86.04209	36.89782	24.57812	39.88631	44.68129
2394.4856	1228.1914	1404.7631	1354.8604	2333.6357	1477.3875	2121.8088	1975.4407
129.24626	0.9906	42.20114	14.99612	705.90857	9.79467	13.78518	16.94199
1972.3208	1824.9542	603.14594	1438.1569	1883.7946	1771.9254	951.6286	1997.5095
930.51965	885.7176	320.11856	799.4733	1334.6171	1202.2913	625.24725	1426.3066
1599.5844	1383.8622	632.7385	1292.3442	3036.3518	2596.4082	1400.0391	2875.1245
165.71721	276.5423	199.67786	138.60957	204.35004	718.3447	110.3261	147.25554
746.54425	506.447	292.5366	522.3476	1026.1168	728.42084	516.8909	921.21497
2589.239	1987.6227	939.02637	2115.5557	2975.1736	2250.0947	1598.5111	3148.394
998.31635	589.56213	374.09427	621.9361	1000.77	578.77075	545.8404	832.43494
828.58093	501.8436	332.36127	617.02155	900.8751	553.76	492.63214	875.0558
118.77132	60.90877	80.11545	125.673	138.6697	82.17226	62.18238	110.68514
258.32465	154.54938	100.79496	229.9264	358.04816	235.13431	173.86485	323.49887
6.68585	1.60337	13.14624	18.87947	19.40079	16.0779	5.14998	5.55578
1589.5801	881.0556	585.31793	1127.028	1728.5784	1053.84	913.7548	1548.6597
14847.516	9185.088	6570.13	10050.859	18257.08	12871.022	12861.943	18024.61
777.16376	432.94797	395.68073	756.4288	757.3688	590.0345	368.26532	644.89923
75.84483	42.87508	36.29663	127.15865	78.48133	50.74575	41.70213	65.21121
1275.2277	753.7485	544.83777	1070.2882	1643.7208	1035.4514	602.4049	1092.0637
1074.1837	567.57605	454.56866	825.40466	1444.3239	829.42413	594.88135	959.0755
1908.3848	1098.4867	952.0621	1362.1776	2090.0735	1301.4286	1091.0575	1636.2156
241.01575	119.59894	132.90453	165.76198	324.89456	161.62067	184.98158	270.85214
619.0399	316.67355	283.2423	481.13544	729.30273	373.9262	307.8179	532.5603
977.35046	451.51254	441.29236	616.34485	1550.0342	780.40674	926.89325	1270.399
33.57614	21.71142	17.48045	46.90981	39.3414	34.71717	18.40442	39.99979
104.88927	47.73166	42.67162	67.70584	110.90932	60.55531	58.10299	90.4982
117.40784	64.6881	47.77259	84.2745	299.7854	53.33015	64.78745	96.4387
1304.6278	626.297	569.8831	719.8332	1710.8756	894.8507	1169.9685	1408.1501
215.03615	103.83408	123.76005	177.15681	251.00049	131.55502	165.16588	233.12558
305.3196	160.73024	194.20137	307.3604	300.6913	176.045	221.05453	268.53848
2211.468	1721.598	1652.3058	2223.6821	2653.341	2127.7507	2324.7864	2694.4846
68.58957	39.97763	89.80755	303.48602	95.02745	72.43105	64.56285	77.8755
1702.3368	963.15375	1109.827	1175.3339	2332.4407	1543.2733	1978.433	2065.0452
170.50003	116.64928	127.72821	186.04614	162.50398	144.3001	192.5536	195.69249
1282.7291	716.28076	707.83386	849.2801	1460.1146	916.3811	1104.8005	1277.7311
41.61205	40.94278	79.39796	88.95679	66.64008	84.4056	32.247	71.41724
577.0979	303.6729	337.75848	371.97733	625.45776	385.27454	508.23492	559.88385
169.10663	142.03925	167.22047	165.93756	193.61345	181.42886	164.64952	199.23668
572.19763	312.64627	370.25955	338.36594	627.9698	438.02173	608.1694	641.27795
38.20369	20.91991	61.15709	28.82695	52.92533	42.93755	29.40801	42.10067
822.47076	449.06296	541.04944	561.6895	776.4369	512.40796	783.32544	764.6577
301.9843	149.06792	218.06285	194.3407	321.86008	165.42024	254.1341	254.55884
64.5851	17.49309	47.72886	57.73334	399.4334	21.2709	46.58472	33.77279
723.71924	666.7101	304.77948	598.0183	730.6818	682.9564	365.977	852.45966
193.95355	155.56895	97.45908	178.48918	269.0734	214.47537	118.36747	249.12209
870.48773	641.46	300.8595	648.66406	1044.2878	809.5219	595.76917	1095.576
98.01646	85.33566	68.5369	108.64464	154.92346	135.4578	61.87294	129.34933
108.05954	50.12091	101.87387	83.0509	143.89587	74.20434	48.13141	100.84995
2418.483	1859.9973	1103.3639	2164.6458	4242.384	3231.2915	2150.5146	3993.9326
205.4701	108.70333	156.67088	179.79878	281.78265	160.63632	125.12362	182.71732
107.97186	25.51019	37.80359	57.9601	115.58061	36.30154	35.76985	63.70892
2150.4824	1415.519	945.0308	1730.1271	2973.3672	1916.978	1945.9852	3225.2446
976.25397	608.1058	457.8432	780.9477	1278.1143	815.554	699.5556	1061.0344
590.7234	336.9939	232.97008	449.37198	772.88403	453.51608	407.4619	730.0227
834.821	459.7027	370.2833	754.82184	1115.7878	642.78845	588.3672	1005.2516
